_id,Proposal Number:,institution,country,role
2784,NPRP10-0207-170385,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
2785,NPRP10-0207-170385,Hamad Medical Corporation,Qatar,Collaborative Institution
2786,NPRP10-0207-170385,Weill Cornell Medical College,United States,Collaborative Institution
2787,NPRP10-0206-170370,Sidra Medicine,Qatar,Submitting Institution
2788,NPRP10-0206-170370,Hamad Medical Corporation,Qatar,Collaborative Institution
2789,NPRP10-0206-170366,Qatar University,Qatar,Submitting Institution
2790,NPRP10-0206-170366,Texas A&amp;M University at Qatar,Qatar,Collaborative Institution
2791,NPRP10-0206-170366,University of Minnesota,United States,Collaborative Institution
2792,NPRP10-0206-170360,Qatar University,Qatar,Submitting Institution
2793,NPRP10-0206-170360,Washington University in St. Louis,United States,Collaborative Institution
2794,NPRP10-0206-170359,Sidra Medicine,Qatar,Submitting Institution
2795,NPRP10-0206-170359,Rockefeller University,United States,Collaborative Institution
2796,NPRP10-0206-170359,Mount Sinai School of Medicine,United States,Collaborative Institution
2797,NPRP10-0205-170349,Hamad Bin Khalifa University,Qatar,Submitting Institution
2798,NPRP10-0205-170349,Qatar University,Qatar,Collaborative Institution
2799,NPRP10-0205-170349,Texas A&amp;M University at Qatar,Qatar,Collaborative Institution
2800,NPRP10-0205-170349,University of Kaiserslautern,Germany,Collaborative Institution
2801,NPRP10-0205-170348,Sidra Medicine,Qatar,Submitting Institution
2802,NPRP10-0205-170347,Qatar University,Qatar,Submitting Institution
2803,NPRP10-0205-170347,Worcester Polytechnic Institute,United States,Collaborative Institution
2804,NPRP10-0205-170347,TEI of Thessaly (University of Applied Sciences of Thessaly),Greece,Collaborative Institution
2805,NPRP10-0205-170346,Qatar University,Qatar,Submitting Institution
2806,NPRP10-0205-170346,University of Ottawa,Canada,Collaborative Institution
2807,NPRP10-0205-170346,Psyentific Mind Inc,United States,Collaborative Institution
2808,NPRP10-0205-170345,Carnegie Mellon University - Qatar,Qatar,Submitting Institution
2809,NPRP10-0205-170342,Qatar University,Qatar,Submitting Institution
2810,NPRP10-0205-170342,Nova Southeastern University,United States,Collaborative Institution
2811,NPRP10-0205-170342,Atmospheric Sciences Institute - Federal University of Alagoas,Brazil,Collaborative Institution
2812,NPRP10-0202-170332,Hamad Medical Corporation,Qatar,Submitting Institution
2813,NPRP10-0202-170332,Weill Cornell Medical College in Qatar,Qatar,Collaborative Institution
2814,NPRP10-0202-170320,Sidra Medicine,Qatar,Submitting Institution
2815,NPRP10-0202-170320,Hamad Medical Corporation,Qatar,Collaborative Institution
2816,NPRP10-0202-170320,Hospital for Sick Children,Canada,Collaborative Institution
2817,NPRP10-0201-170315,Hamad Bin Khalifa University,Qatar,Submitting Institution
2818,NPRP10-0201-170315,FEMTO-ST Institute,France,Collaborative Institution
2819,NPRP10-0201-170315,Hong Kong University of Science and Technology,Hong Kong,Collaborative Institution
2820,NPRP10-0201-170311,Hamad Bin Khalifa University,Qatar,Submitting Institution
2821,NPRP10-0201-170311,Qatar Biobank for Medical Research,Qatar,Collaborative Institution
2822,NPRP10-0201-170311,Shafallah Center for Children with Special Needs,Qatar,Collaborative Institution
2823,NPRP10-0201-170311,Hamad Medical Corporation,Qatar,Collaborative Institution
2824,NPRP10-0201-170306,Hamad Medical Corporation,Qatar,Submitting Institution
2825,NPRP10-0201-170306,Northwestern University,United States,Collaborative Institution
2826,NPRP10-0131-170300,Qatar University,Qatar,Submitting Institution
2827,NPRP10-0131-170300,National Technical University of AThens,Greece,Collaborative Institution
2828,NPRP10-0131-170300,The Behaviouralist,United Kingdom,Collaborative Institution
2829,NPRP10-0130-170288,Qatar University,Qatar,Submitting Institution
2830,NPRP10-0130-170288,Harokopio University of Athens,Greece,Collaborative Institution
2831,NPRP10-0130-170288,ITML - Information Technology for Market Leadership,Greece,Collaborative Institution
2832,NPRP10-0130-170286,Qatar University,Qatar,Submitting Institution
2833,NPRP10-0130-170286,University of Central Florida,United States,Collaborative Institution
2834,NPRP10-0129-170280,Qatar University,Qatar,Submitting Institution
2835,NPRP10-0129-170280,Indiana University Purdue University at Indianapolis,United States,Collaborative Institution
2836,NPRP10-0129-170280,Marafeq Qatar,Qatar,Collaborative Institution
2837,NPRP10-0129-170280,Cientive Group Incorporated,United States,Collaborative Institution
2838,NPRP10-0129-170278,Qatar University,Qatar,Submitting Institution
2839,NPRP10-0129-170278,Qatar Shell Research &amp; Technology Center QSTP LLC,Qatar,Collaborative Institution
2840,NPRP10-0129-170277,Sidra Medicine,Qatar,Submitting Institution
2841,NPRP10-0129-170277,Università degli Studi di Palermo,Italy,Collaborative Institution
2842,NPRP10-0129-170277,Hamad Medical Corporation,Qatar,Collaborative Institution
2843,NPRP10-0129-170277,Harvard Medical School,United States,Collaborative Institution
2844,NPRP10-0129-170276,Qatar University,Qatar,Submitting Institution
2845,NPRP10-0129-170276,University of Bradford,United Kingdom,Collaborative Institution
2846,NPRP10-0129-170276,Delft University of Technology,Netherlands,Collaborative Institution
2847,NPRP10-0129-170276,International Organisation for Knowledge Economy and Enterprise Development (IKED),Sweden,Collaborative Institution
2848,NPRP10-0129-170276,Educated Change,United Kingdom,Collaborative Institution
2849,NPRP10-0129-170274,Qatar University,Qatar,Submitting Institution
2850,NPRP10-0127-170270,Qatar University,Qatar,Submitting Institution
2851,NPRP10-0127-170270,Universiti Kebangsaan Malaysia,Malaysia,Collaborative Institution
2852,NPRP10-0127-170269,Qatar University,Qatar,Submitting Institution
2853,NPRP10-0127-170269,University of Akron,United States,Collaborative Institution
2854,NPRP10-0127-170269,University of Houston,United States,Collaborative Institution
2855,NPRP10-0127-170269,ConocoPhillips Water Technology Ltd QSTP-B,Qatar,Collaborative Institution
2856,NPRP10-0126-170263,Hamad Medical Corporation,Qatar,Submitting Institution
2857,NPRP10-0126-170263,University Hospital of Geneva,Switzerland,Collaborative Institution
2858,NPRP10-0126-170262,Sidra Medicine,Qatar,Submitting Institution
2859,NPRP10-0126-170262,Martin Luther University of Halle-Wittenberg,Germany,Collaborative Institution
2860,NPRP10-0126-170262,Università degli Studi del Sannio di Benevento,Italy,Collaborative Institution
2861,NPRP10-0126-170262,Hamad Medical Corporation,Qatar,Collaborative Institution
2862,NPRP10-0126-170257,Qatar University,Qatar,Submitting Institution
2863,NPRP10-0126-170257,University of Southern Mississippi,United States,Collaborative Institution
2864,NPRP10-0126-170256,Sidra Medicine,Qatar,Submitting Institution
2865,NPRP10-0126-170256,Fundació Institut Mar d’Investigacions Mèdiques (IMIM),Spain,Collaborative Institution
2866,NPRP10-0126-170256,ZeClinics,Spain,Collaborative Institution
2867,NPRP10-0126-170256,Ministry of Health - Qatar,Qatar,Collaborative Institution
2868,NPRP10-0126-170254,Hamad Bin Khalifa University,Qatar,Submitting Institution
2869,NPRP10-0126-170254,Clemson University,United States,Collaborative Institution
2870,NPRP10-0125-170252,Qatar University,Qatar,Submitting Institution
2871,NPRP10-0125-170252,Qatar Shell Research &amp; Technology Center QSTP LLC,Qatar,Collaborative Institution
2872,NPRP10-0125-170252,Imperial College London,United Kingdom,Collaborative Institution
2873,NPRP10-0125-170250,Qatar University,Qatar,Submitting Institution
2874,NPRP10-0125-170250,Washington University in St. Louis,United States,Collaborative Institution
2875,NPRP10-0125-170246,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
2876,NPRP10-0125-170246,Catalytic Innovations,United States,Collaborative Institution
2877,NPRP10-0125-170242,Sidra Medicine,Qatar,Submitting Institution
2878,NPRP10-0125-170240,Qatar University,Qatar,Submitting Institution
2879,NPRP10-0125-170240,University of Oklahoma,United States,Collaborative Institution
2880,NPRP10-0125-170235,Qatar University,Qatar,Submitting Institution
2881,NPRP10-0125-170234,Hamad Bin Khalifa University,Qatar,Submitting Institution
2882,NPRP10-0125-170234,Hamad Medical Corporation,Qatar,Collaborative Institution
2883,NPRP10-0125-170234,Aspetar - Qatar Orthopaedic and Sports Medicine Hospital,Qatar,Collaborative Institution
2884,NPRP10-0125-170234,Sidra Medicine,Qatar,Collaborative Institution
2885,NPRP10-0125-170234,Dasman Diabetes Institute,Kuwait,Collaborative Institution
2886,NPRP10-0123-170222,Qatar University,Qatar,Submitting Institution
2887,NPRP10-0123-170222,Hamad Medical Corporation,Qatar,Collaborative Institution
2888,NPRP10-0123-170222,Cornell University - Ithaca,United States,Collaborative Institution
2889,NPRP10-0123-170222,Sidra Medicine,Qatar,Collaborative Institution
2890,NPRP10-0122-170219,Aspetar - Qatar Orthopaedic and Sports Medicine Hospital,Qatar,Submitting Institution
2891,NPRP10-0122-170219,Primary Health Care Corporation,Qatar,Collaborative Institution
2892,NPRP10-0122-170219,Sidra Medicine,Qatar,Collaborative Institution
2893,NPRP10-0122-170219,Qatar University,Qatar,Collaborative Institution
2894,NPRP10-0122-170219,Weill Cornell Medical College in Qatar,Qatar,Collaborative Institution
2895,NPRP10-0120-170211,Qatar University,Qatar,Submitting Institution
2896,NPRP10-0120-170211,Hamad Medical Corporation,Qatar,Collaborative Institution
2897,NPRP10-0120-170211,University of Illinois at Urbana-Champaign,United States,Collaborative Institution
2898,NPRP10-0120-170211,Sidra Medicine,Qatar,Collaborative Institution
2899,NPRP10-0120-170211,Hamad Bin Khalifa University,Qatar,Collaborative Institution
2900,NPRP10-0119-170197,Carnegie Mellon University - Qatar,Qatar,Submitting Institution
2901,NPRP10-0119-170197,Hamad Bin Khalifa University,Qatar,Collaborative Institution
2902,NPRP10-0118-170191,Qatar University,Qatar,Submitting Institution
2903,NPRP10-0118-170191,ConocoPhillips Water Technology Ltd QSTP-B,Qatar,Collaborative Institution
2904,NPRP10-0117-170178,Carnegie Mellon University - Qatar,Qatar,Submitting Institution
2905,NPRP10-0117-170176,Qatar University,Qatar,Submitting Institution
2906,NPRP10-0117-170176,"University of Technology, Sydney",Australia,Collaborative Institution
2907,NPRP10-0117-170176,"Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas",Spain,Collaborative Institution
2908,NPRP10-0117-170176,QEWC - Qatar Electricity and Water Company,Qatar,Collaborative Institution
2909,NPRP10-0115-170165,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
2910,NPRP10-0115-170165,University of Oklahoma,United States,Collaborative Institution
2911,NPRP10-0115-170163,Doha Institute for Graduate Studies,Qatar,Submitting Institution
2912,NPRP10-0115-170163,Georgetown University School of Foreign Service in Qatar,Qatar,Collaborative Institution
2913,NPRP10-0115-170163,University of Waterloo,Canada,Collaborative Institution
2914,NPRP10-0115-170163,Columbia University in the City of New York,United States,Collaborative Institution
2915,NPRP10-0115-170163,Université du Québec à Montréal (UQAM),Canada,Collaborative Institution
2916,NPRP10-0115-170163,Queens University of Charlotte,United States,Collaborative Institution
2917,NPRP10-0112-170157,Northwestern University in Qatar,Qatar,Submitting Institution
2918,NPRP10-0111-170152,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
2919,NPRP10-0111-170152,Texas A&amp;M University - College Station,United States,Collaborative Institution
2920,NPRP10-0110-170142,College of the North Atlantic - Qatar,Qatar,Submitting Institution
2921,NPRP10-0110-170142,Texas A&amp;M University - College Station,United States,Collaborative Institution
2922,NPRP10-0107-170119,Qatar University,Qatar,Submitting Institution
2923,NPRP10-0107-170119,University of Limerick,Ireland,Collaborative Institution
2924,NPRP10-0105-170118,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
2925,NPRP10-0105-170118,Qatar Shell Research &amp; Technology Center QSTP LLC,Qatar,Collaborative Institution
2926,NPRP10-0105-170118,Université de Montréal,Canada,Collaborative Institution
2927,NPRP10-0105-170118,Hamad Bin Khalifa University,Qatar,Collaborative Institution
2928,NPRP10-0105-170118,Ecole Nationale Supérieure de Chimie de Lille (ENSCL),France,Collaborative Institution
2929,NPRP10-0105-170107,Qatar University,Qatar,Submitting Institution
2930,NPRP10-0105-170107,Concordia University,Canada,Collaborative Institution
2931,NPRP10-0104-170104,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
2932,NPRP10-0104-170104,University of Manchester,United Kingdom,Collaborative Institution
2933,NPRP10-0104-170104,Texas A&amp;M University at College Station,United States,Collaborative Institution
2934,NPRP10-0104-170104,Aix-Marseille University,France,Collaborative Institution
2935,NPRP10-0104-170104,TOTAl SA,France,Collaborative Institution
2936,NPRP10-0102-170094,Qatar University,Qatar,Submitting Institution
2937,NPRP10-0102-170094,Ecole Supérieure des Communications de Tunis (SUPCOM),Tunisia,Collaborative Institution
2938,NPRP10-0102-170094,University of Brescia,Italy,Collaborative Institution
2939,NPRP10-0101-170091,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
2940,NPRP10-0101-170091,Texas A&amp;M University - College Station,United States,Collaborative Institution
2941,NPRP10-0101-170091,TOTAL E&amp;P Golfe Ltd,Qatar,Collaborative Institution
2942,NPRP10-0101-170091,Petroleumsoft,Norway,Collaborative Institution
2943,NPRP10-0101-170086,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
2944,NPRP10-0101-170085,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
2945,NPRP10-0101-170085,Texas A&amp;M University - College Station,United States,Collaborative Institution
2946,NPRP10-0101-170085,Siemens W.L.L,Qatar,Collaborative Institution
2947,NPRP10-0101-170082,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
2948,NPRP10-0101-170082,Texas A&amp;M University - College Station,United States,Collaborative Institution
2949,NPRP10-0101-170082,Iberdrola QSTP LLC,Qatar,Collaborative Institution
2950,NPRP10-0101-170081,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
2951,NPRP10-0101-170081,Texas A&amp;M University - College Station,United States,Collaborative Institution
2952,NPRP10-0101-170081,Texas A&amp;M University,United States,Collaborative Institution
2953,NPRP10-0101-170081,Texas A&amp;M University at College Station,United States,Collaborative Institution
2954,NPRP10-0101-170081,MODUS,Qatar,Collaborative Institution
2955,NPRP10-0101-170076,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
2956,NPRP10-0101-170076,Hamad Medical Corporation,Qatar,Collaborative Institution
2957,NPRP10-0101-170076,Texas A&amp;M University - College Station,United States,Collaborative Institution
2958,NPRP10-0101-170076,Georgia Institute of Technology (Georgia Tech),United States,Collaborative Institution
2959,NPRP07-8-6-7-2,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
2960,NPRP07-8-6-7-2,Texas A&amp;M University at Qatar,Qatar,Performance Site
2961,NPRP07-8-6-7-2,Texas A&amp;M University - College Station,United States,Collaborative Institution
2962,NPRP07-8-6-7-1,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
2963,NPRP07-8-6-7-1,Texas A&amp;M University at Qatar,Qatar,Performance Site
2964,NPRP07-30-6-7-91,Carnegie Mellon University - Qatar,Qatar,Submitting Institution
2965,NPRP07-30-6-7-91,Carnegie Mellon University - Qatar,Qatar,Performance Site
2966,NPRP07-30-6-7-77,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
2967,NPRP07-30-6-7-77,Texas A&amp;M University at Qatar,Qatar,Performance Site
2968,NPRP07-30-6-7-77,Texas A&amp;M University - College Station,United States,Collaborative Institution
2969,NPRP07-30-6-7-59,Qatar University,Qatar,Submitting Institution
2970,NPRP07-30-6-7-59,Qatar University,Qatar,Performance Site
2971,NPRP07-30-6-7-59,York University,Canada,Collaborative Institution
2972,NPRP07-30-6-7-44,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
2973,NPRP07-30-6-7-44,Weill Cornell Medical College in Qatar,Qatar,Performance Site
2974,NPRP07-30-6-7-44,Hamad Medical Corporation,Qatar,Collaborative Institution
2975,NPRP07-30-6-7-38,Hamad Medical Corporation,Qatar,Submitting Institution
2976,NPRP07-30-6-7-38,Weill Cornell Medical College in Qatar,Qatar,Performance Site
2977,NPRP07-30-6-7-38,Hamad Medical Corporation,Qatar,Performance Site
2978,NPRP07-30-6-7-38,Weill Cornell Medical College in Qatar,Qatar,Collaborative Institution
2979,NPRP07-30-6-7-38,Hamad Medical Corporation,Qatar,Collaborative Institution
2980,NPRP07-30-6-7-35,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
2981,NPRP07-30-6-7-35,Texas A&amp;M University at Qatar,Qatar,Performance Site
2982,NPRP07-30-6-7-28,Carnegie Mellon University - Qatar,Qatar,Submitting Institution
2983,NPRP07-30-6-7-16,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
2984,NPRP07-30-6-7-16,Texas A&amp;M University at Qatar,Qatar,Performance Site
2985,NPRP07-30-6-7-16,Texas A&amp;M University - College Station,United States,Collaborative Institution
2986,NPRP07-30-6-7-1,Qatar University,Qatar,Submitting Institution
2987,NPRP07-30-6-7-1,Qatar University,Qatar,Performance Site
2988,NPRP07-30-6-7-1,Texas A&amp;M University at Qatar,Qatar,Collaborative Institution
2989,NPRP07-30-6-7-1,Texas A&amp;M University - College Station,United States,Collaborative Institution
2990,NPRP07-30-6-7-1,University of Burgos,Spain,Collaborative Institution
2991,NPRP07-29-6-7-9,Carnegie Mellon University - Qatar,Qatar,Submitting Institution
2992,NPRP07-29-6-7-9,Carnegie Mellon University - Qatar,Qatar,Performance Site
2993,NPRP07-29-6-7-9,Carnegie Mellon University,United States,Collaborative Institution
2994,NPRP07-29-6-7-44,Hamad Medical Corporation,Qatar,Submitting Institution
2995,NPRP07-29-6-7-44,Hamad Medical Corporation,Qatar,Performance Site
2996,NPRP07-29-6-7-44,Qatar University,Qatar,Collaborative Institution
2997,NPRP07-29-6-7-43,Carnegie Mellon University - Qatar,Qatar,Submitting Institution
2998,NPRP07-29-6-7-43,Carnegie Mellon University - Qatar,Qatar,Performance Site
2999,NPRP07-29-6-7-4,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
3000,NPRP07-29-6-7-4,Texas A&amp;M University at Qatar,Qatar,Performance Site
3001,NPRP07-29-6-7-39,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
3002,NPRP07-29-6-7-39,Texas A&amp;M University at Qatar,Qatar,Performance Site
3003,NPRP07-29-6-7-39,Texas A&amp;M University - College Station,United States,Collaborative Institution
3004,NPRP07-29-6-7-30,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
3005,NPRP07-29-6-7-30,Texas A&amp;M University at Qatar,Qatar,Performance Site
3006,NPRP07-29-6-7-30,Texas A&amp;M University - College Station,United States,Collaborative Institution
3007,NPRP07-29-6-7-24,Carnegie Mellon University - Qatar,Qatar,Submitting Institution
3008,NPRP07-29-6-7-24,Carnegie Mellon University - Qatar,Qatar,Performance Site
3009,NPRP07-29-6-7-24,Carnegie Mellon University,United States,Collaborative Institution
3010,NPRP07-29-6-7-18,Georgetown University School of Foreign Service in Qatar,Qatar,Submitting Institution
3011,NPRP07-29-6-7-18,Georgetown University School of Foreign Service in Qatar,Qatar,Performance Site
3012,NPRP07-29-6-7-18,University of Michigan,United States,Collaborative Institution
3013,NPRP07-28-6-7-8,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
3014,NPRP07-28-6-7-8,Qatar University,Qatar,Performance Site
3015,NPRP07-28-6-7-1,Qatar University,Qatar,Submitting Institution
3016,NPRP07-28-6-7-1,Qatar University,Qatar,Performance Site
3017,NPRP07-28-6-7-7,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
3018,NPRP07-28-6-7-7,Hamad Medical Corporation,Qatar,Performance Site
3019,NPRP07-28-6-7-7,Texas A&amp;M University at Qatar,Qatar,Performance Site
3020,NPRP07-28-6-7-7,Texas A&amp;M University - College Station,United States,Collaborative Institution
3021,NPRP07-28-6-7-7,Kingston University,United Kingdom,Collaborative Institution
3022,NPRP07-28-6-7-33,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
3023,NPRP07-28-6-7-33,Texas A&amp;M University at Qatar,Qatar,Performance Site
3024,NPRP07-28-6-7-33,Texas A&amp;M University - College Station,United States,Collaborative Institution
3025,NPRP07-28-6-7-32,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
3026,NPRP07-28-6-7-32,Qatar University,Qatar,Collaborative Institution
3027,NPRP07-28-6-7-28,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
3028,NPRP07-28-6-7-28,Texas A&amp;M University at Qatar,Qatar,Performance Site
3029,NPRP07-28-6-7-28,Texas A&amp;M University - College Station,United States,Collaborative Institution
3030,NPRP07-28-6-7-17,Hamad Medical Corporation,Qatar,Submitting Institution
3031,NPRP07-28-6-7-17,Hamad Medical Corporation,Qatar,Performance Site
3032,NPRP07-28-6-7-17,Kingston University,United Kingdom,Collaborative Institution
3033,NPRP07-27-6-7-25,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
3034,NPRP07-27-6-7-25,Texas A&amp;M University at Qatar,Qatar,Performance Site
3035,NPRP07-27-6-7-25,Texas A&amp;M University - College Station,United States,Collaborative Institution
3036,NPRP07-27-6-7-24,Qatar University,Qatar,Submitting Institution
3037,NPRP07-27-6-7-24,Qatar University,Qatar,Performance Site
3038,NPRP07-27-6-7-24,Centre of Biotechnology of Sfax,Tunisia,Collaborative Institution
3039,NPRP07-26-6-7-8,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
3040,NPRP07-26-6-7-2,Qatar University,Qatar,Submitting Institution
3041,NPRP07-26-6-7-10,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
3042,NPRP07-26-6-7-10,Texas A&amp;M University - College Station,United States,Collaborative Institution
3043,NPRP07-27-6-7-21,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
3044,NPRP07-27-6-7-21,Texas A&amp;M University at Qatar,Qatar,Performance Site
3045,NPRP07-27-6-7-21,Texas A&amp;M University - College Station,United States,Collaborative Institution
3046,NPRP07-27-6-7-10,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
3047,NPRP07-27-6-7-10,Texas A&amp;M University at Qatar,Qatar,Performance Site
3048,NPRP07-27-6-7-10,Texas A&amp;M University - College Station,United States,Collaborative Institution
3049,NPRP07-26-6-7-15,Qatar University,Qatar,Submitting Institution
3050,NPRP07-25-6-7-9,Qatar University,Qatar,Submitting Institution
3051,NPRP07-25-6-7-9,Liverpool John Moores University,United Kingdom,Collaborative Institution
3052,NPRP07-25-6-7-8,Qatar University,Qatar,Submitting Institution
3053,NPRP07-25-6-7-2,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
3054,NPRP07-25-6-7-11,Hamad Medical Corporation,Qatar,Submitting Institution
3055,NPRP07-20-6-7-6,Carnegie Mellon University - Qatar,Qatar,Submitting Institution
3056,NPRP07-20-6-7-3,College of the North Atlantic - Qatar,Qatar,Submitting Institution
3057,NPRP07-20-6-7-3,Qatar University,Qatar,Collaborative Institution
3058,NPRP07-20-6-7-3,McGill University,Canada,Collaborative Institution
3059,NPRP07-20-6-7-3,Al Fateh University,Libya,Collaborative Institution
3060,NPRP07-1-7-7-6,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
3061,NPRP07-1-7-7-5,Carnegie Mellon University - Qatar,Qatar,Submitting Institution
3062,NPRP07-1-7-7-5,Carnegie Mellon University - Qatar,Qatar,Performance Site
3063,NPRP07-1-7-7-3,Qatar University,Qatar,Submitting Institution
3064,NPRP07-1-7-7-3,Qatar University,Qatar,Performance Site
3065,NPRP07-1-7-7-20,Qatar University,Qatar,Submitting Institution
3066,NPRP07-1-7-7-20,Qatar University,Qatar,Performance Site
3067,NPRP07-1-7-7-20,Michigan State University,United States,Collaborative Institution
3068,NPRP07-17-6-7-1,Hamad Medical Corporation,Qatar,Submitting Institution
3069,NPRP07-17-6-7-1,King Faisal Specialist Hospital &amp; Research Centre,Saudi Arabia,Collaborative Institution
3070,NPRP07-13-6-7-4,Qatar University,Qatar,Submitting Institution
3071,NPRP07-13-6-7-1,Qatar University,Qatar,Submitting Institution
3072,NPRP X - 107 - 1 - 027,Hamad Bin Khalifa University,Qatar,Submitting Institution
3073,NPRP X - 107 - 1 - 027,Purdue University,United States,Collaborative Institution
3074,NPRP X - 107 - 1 - 027,University of Chicago,United States,Collaborative Institution
3075,NPRP X - 100 - 2 - 024,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
3076,NPRP X - 100 - 2 - 024,Texas A&amp;M University - College Station,United States,Collaborative Institution
3077,NPRP X - 100 - 2 - 024,Northwestern University,United States,Collaborative Institution
3078,NPRP X - 100 - 2 - 024,TOTAL E&amp;P Golfe Ltd,Qatar,Collaborative Institution
3079,NPRP X - 100 - 2 - 024,Total Research &amp; Technology Feluy,Belgium,Collaborative Institution
3080,NPRP X - 100 - 2 - 024,Qatar University,Qatar,Collaborative Institution
3081,NPRP X - 095 - 1 - 024,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
3082,NPRP X - 095 - 1 - 024,Qatar University,Qatar,Collaborative Institution
3083,NPRP X - 090 - 3 - 037,Hamad Medical Corporation,Qatar,Submitting Institution
3084,NPRP X - 090 - 3 - 037,Weill Cornell Medical College,United States,Collaborative Institution
3085,NPRP X - 090 - 3 - 037,Weill Cornell Medical College in Qatar,Qatar,Collaborative Institution
3086,NPRP X - 063 - 1 - 014,Qatar University,Qatar,Submitting Institution
3087,NPRP X - 063 - 1 - 014,Purdue University,United States,Collaborative Institution
3088,NPRP X - 063 - 1 - 014,Carnegie Mellon University - Qatar,Qatar,Collaborative Institution
3089,NPRP 7 - 988 - 1 - 178,Carnegie Mellon University - Qatar,Qatar,Submitting Institution
3090,NPRP 7 - 988 - 1 - 178,Carnegie Mellon University,United States,Collaborative Institution
3091,NPRP 7 - 988 - 1 - 178,University of Copenhagen,Denmark,Collaborative Institution
3092,NPRP X - 036 - 3 - 013,Qatar University,Qatar,Submitting Institution
3093,NPRP X - 036 - 3 - 013,Hamad Medical Corporation,Qatar,Collaborative Institution
3094,NPRP X - 036 - 3 - 013,Ministry of Education and Higher Education,Qatar,Collaborative Institution
3095,NPRP X - 036 - 3 - 013,Aspetar - Qatar Orthopaedic and Sports Medicine Hospital,Qatar,Collaborative Institution
3096,NPRP X - 036 - 3 - 013,Imperial College London,United Kingdom,Collaborative Institution
3097,NPRP X - 036 - 3 - 013,Leeds Metropolitan University,United Kingdom,Collaborative Institution
3098,NPRP X - 036 - 3 - 013,Aspire Academy for Sports Excellence,Qatar,Collaborative Institution
3099,NPRP X - 033 - 2 - 007,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
3100,NPRP X - 033 - 2 - 007,Texas A&amp;M University - College Station,United States,Collaborative Institution
3101,NPRP X - 033 - 2 - 007,University of Akron,United States,Collaborative Institution
3102,NPRP X - 033 - 2 - 007,Kansas State University,United States,Collaborative Institution
3103,NPRP X - 033 - 2 - 007,Warsaw University of Technology,Poland,Collaborative Institution
3104,NPRP X - 033 - 2 - 007,Hamad Bin Khalifa University,Qatar,Collaborative Institution
3105,NPRP X - 033 - 2 - 007,Qatar University,Qatar,Collaborative Institution
3106,NPRP 7 - 987 - 2 - 372,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
3107,NPRP 7 - 987 - 2 - 372,University of Florida,United States,Collaborative Institution
3108,NPRP 7 - 987 - 2 - 372,Florida Polytechnic University,United States,Collaborative Institution
3109,NPRP X - 019 - 1 - 006,Hamad Bin Khalifa University,Qatar,Submitting Institution
3110,NPRP X - 019 - 1 - 006,University of Warwick,United Kingdom,Collaborative Institution
3111,NPRP X - 019 - 1 - 006,University of St Andrews,United Kingdom,Collaborative Institution
3112,NPRP X - 019 - 1 - 006,Keele University,United Kingdom,Collaborative Institution
3113,NPRP X - 019 - 1 - 006,Smithsonian Astrophysical Observatory,United States,Collaborative Institution
3114,NPRP X - 014 - 4 - 001,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
3115,NPRP X - 014 - 4 - 001,Ministry of Municipality and Environment (MME),Qatar,Collaborative Institution
3116,NPRP X - 014 - 4 - 001,Institute of Research for Development (IRD),France,Collaborative Institution
